Rule	Text
1.2.5c	Last known information about an object is immutable - it can not be altered. Rules and effects that would modify the object that no longer exists do not modify the last known information about an object; this may cause effects to fail. Example: Luminaris has the text “If there is a yellow card in your pitch zone, Illusionist attacks you control have go again.”. If you controlled Illusionist attack as a chain link on the combat chain, but it was removed, and then you put a yellow card in your pitch zone to met Luminaris’s condition, the chain link does not have go again because the last known information about the attack can not be altered.
1.2.5d	Last known information about an object is not an object itself - it is not a legal target for rules and effects.
1.2.6.	The owner of an object is the same as the card, token, macro, or layer that represents it, otherwise it has no owner.
1.2.7.	The controller of an object is the same as the card, token, macro, or layer that represents it. An object does not have a controller if it is not in the arena or on the stack.
1.3.	Cards
1.3.1.	A card is represented by an official Flesh and Blood card, which is defined by tournament rules.
1.3.1a	The properties of a card are determined by the properties printed on the latest version of the official Flesh and Blood card that represents it, or as specified by any errata published by Legend Story Studios, whichever is most recent. These properties are the copyable properties of the card. (See Chapter 2 - Object Properties)
1.3.2.	A card is distinct from another card if it has a different name or pitch from that other card. Example: Sink Below with 1 pitch (and a red color bar) is distinct from Sink Below with 2 pitch (and a yellow color bar).
1.3.3.	The owner of a card is the player who started the game with that card as their hero or as part of their deck. (See Rule 1.1.3)
1.3.4.	The controller of a card is its owner as it enters the arena or the player who played that card. 3
1.4.	Tokens
1.4.1.	A token is any permanent in the arena that is neither a card nor a macro. Tokens are created by effects. 1.4.1a	A token is not a card, even if it is represented by an official Flesh and Blood card. (See Rule 1.3.1) Example: The official Flesh and Blood card Quicken is a token. This is indicated by the term “token” printed in the type box.
1.4.1b	The properties of a token are defined by the effect that created it - these properties are the copyable properties of the token. (See Section 8.6 - Token Keywords)
1.4.1c	A token is not considered part of a player’s deck. (See Rule 1.1.3)
1.4.2.	If a token leaves the arena and it is not a sub-object, it ceases to exist. (See Rule 3.0.14)
1.4.3.	The owner of a token is the player instructed to create it.
1.4.4.	The controller of a token is its owner as it enters the arena.
1.5.	Macros
1.5.1.	A macro is an object in the arena that is neither a card nor a token. Macros are objects used to generate static-continuous effects that exist over multiple turns or indefinitely.
1.5.1a	A macro is not a card, even if it is represented by an official Flesh and Blood card. (See Rule 1.3.1)
1.5.1b	The properties of a macro are defined by the rule or effect that created it.
1.5.1c	A macro is not considered part of a player’s deck. (See Rule 1.1.3) 1.5.2.	If a macro leaves the arena, it ceases to exist.
1.5.3.	The owner of a macro is the player instructed to create it.
1.5.4.	The controller of a macro is its owner as it enters the arena.
1.6.	Layers
1.6.1.	A layer is an object on the stack (see Section 3.14 - Stack) that is yet to be resolved. A layer is represented by a card or is an object created by an ability or effect.
1.6.1a	A card-layer is a layer represented by a card on the stack.
1.6.1b	An activated-layer is a layer created by an activated ability. An activated-layer can only exist on the stack. (See Section 5.2 - Activated Abilities) Example: Energy Potion has the text “Instant – Destroy Energy Potion: Gain {r}{r}”, which is an activated ability. When this ability is activated, it creates an activated-layer on the stack with the resolution ability “Gain {r}{r}”.
1.6.1c	A triggered-layer is a layer created by a triggered effect. A triggered-layer can only exist on the stack. (See Section 6.6 - Triggered Effects) Example: Snatch has the text “When Snatch hits, draw a card.”, which is a triggered effect. When this effect is triggered, it creates a triggered-layer to be put on the stack with the resolution ability “Draw a card”.
1.6.2.	An attack-layer is an activated-layer (activated-attack) or triggered-layer (triggered-attack) with the attack ability (see Rule 8.3.1), and represents its source as an attack on the stack before the source becomes a chain link attack on the combat chain.
1.6.2a	An attack-layer is an extension of the source it represents. The attack-layer is considered to be its source for rules and effects unless otherwise specified by a rule. Example: Sharpen Steel has the text “Your next weapon attack this turn gains +3{p}.”, which is an effect that applies only to the next weapon attack. If you create an attack-layer with a weapon, Sharpen Steel’s effect will apply to the attack-layer because it is considered to be a weapon (and an attack) for rules and effects.
1.6.2b	An attack-layer is considered a separate object from its source for effects that applies specifically to attacks. Effects that refer to and apply to the source also refer to and apply to any attack-layer created by the source, but effects that specifically refer to or apply to the attack-layer do not refer to or apply to the source. Example: Sharpen Steel has the text “Your next weapon attack this turn gains +3{p}.”, which applies only to the attack-layer created by a weapons abilities and then applies to the weapon as an attack on the combat chain; it does not continue to apply to the weapon when the weapon is no longer that specific attack on the combat chain. Example: Ironsong Determination has the text “Target weapon gains +1{p} and dominate until end of turn.”, which applies to a weapon object, and by extension, any attack-layers created by its abilities.
1.6.2c	If the source of an attack-layer ceases to exist, the attack-layer does not resolve.
1.6.3.	The owner of a card-layer is the player who owns the card. The owner of an activated-layer is the player who activated the activated ability. The owner of a triggered-layer is the player who controlled the source of the triggered effect when the triggered-layer was created.
1.6.4.	The controller of a layer is the player that put it on the stack.
1.7.	Abilities
1.7.1.	An ability is a property of an object that influences the game by generating effects or by creating a layer on the stack that resolves and generates effects.
1.7.2.	The base abilities of a card are determined by its rules text. (See Section 2.11 - Text Box)
1.7.3.	The base abilities of a token, macro, or layer are defined by the rule, effect, or ability that created it.
1.7.4.	There are 3 categories of abilities: activated abilities, resolution abilities, and static abilities. An ability is categorized based on how it generates effects.
1.7.4a	Activated abilities can be activated by a player to put an activated-layer on the stack. (See Section 5.2 - Activated Abilities)
1.7.4b	Resolution abilities generate effects when a layer with the ability resolves on the stack. (See Section 5.3 - Resolution Abilities & Resolving Layers)
1.7.4c	Static abilities simply generate effects. (See Section 5.4 - Static Abilities)
1.7.5.	An activated ability can only be activated when it is functional. A resolution or static ability only generates its effects when it is functional. An ability is functional when its source is public and in the arena; otherwise, it is non-functional, with the following exceptions:
1.7.5a	An ability of a non-permanent defending object (see Rule 3.5.4d) is non-functional unless the ability is an activated ability that specifies it can be activated when the object is defending, a triggered ability with a trigger condition that includes the object defending, or a static ability that is stated as an exception. Example: Rally the Rearguard has the text “Once per Turn Instant — Discard a card: Rally the Rearguard gains +3 {d} . Activate this ability only while Rally the Rearguard is defending.”, which is functional when it is a non-permanent defending card because the activated ability states it can only be activated when the card is defending.
1.7.5b	An activated ability that specifies it can be activated when its source is private and/or in a zone outside the arena is functional when the source meets that condition. (See Rule 5.2.4) Example: Guardian of the Shadowrealm has the text “Action - {r}{r}: Return Guardian of the Shadowrealm to your hand. Active this ability only while Guardian of the Shadowrealm is in your banished zone.”, which is functional when it is in the owner’s banished zone.
1.7.5c	A resolution ability is functional when its source object resolves as a layer on the stack, otherwise, it is non-functional. (See Section 5.3 - Resolution Abilities & Resolving Layers) Example: Sigil of Solace has the text “Gain 3{h}”, which is a resolution ability that is functional as the card resolves as a layer on the stack to produce its effect.
1.7.5d	A meta-static ability is functional outside the game. (See Rule 5.4.3) Example: The Specialization keyword is a meta-static ability that prevents the player from including the card in their deck if the specialization does not match their hero card’s first name, which is functional outside the game.
1.7.5e	A play-static ability is functional when its source is played. (See Rule 5.4.4) Example: Ghostly Visit has the text “You may play Ghostly Visit from your banished zone.”, which is a play-static ability that is functional when playing Ghostly Visit, because it affects the rules of how it is allowed to be played.
1.7.5f	A property-static ability is functional when its source is in any zone, and outside the game. (See Rule 5.4.5) Example: The {p} and {d} of Mutated Mass are defined by a property-static ability which is functional at all times, based on the current total number of different costed cards in the pitch zone in the current game state.
1.7.5g	A while-static ability is functional when its while-condition is met. (See Rule 1.8.3c) Example: Yinti Yanti has the text “While Yinti Yanti is defending and you control an aura, it has +1 {d} .”, which is a while-static ability that is functional when it is a non-permanent defending card because it has a while-condition that is met when the card is defending.
1.7.5h	A static ability is functional when its source resolves as a layer on the stack and/or as its source enters the arena. Example: Teklo Core has the text “Teklo Core enters the arena with 2 steam counters on it.”, which is a static ability that is functional as Teklo Core enters the arena, so it will enter with two steam counters existing on it.
1.7.5i	A triggered-static ability, with a triggered condition that its source is outside the arena, is functional when the source meets that condition. Example: Back Alley Breakline has the text “When an activated ability or action card effect puts Back Alley Breakline face up into a zone from your deck, gain 1 action point.”, which is a triggered-static ability that is functional a zone when an activated ability or action card effect puts it into that zone from the deck.
1.7.5j	A static ability, with a replacement effect that modifies the event of its source moving zones, is functional when the source meets that condition. Example: Drone of Brutality has the text “If Drone of Brutality would be put into your graveyard from anywhere, instead put it on the bottom of your deck.”, which is a static ability with a vreplacement effect that is functional when Drone of Brutality would be moved to the graveyard zone.
1.7.6.	A modal ability is a resolution ability that contains a choice of modes for what abilities the source has, or what effects the ability will generate. A modal ability typically contains the phrase “choose [X] [CONDITIONS?]; [MODES]” where X is a cardinal number or a description of the number of modes to choose, CONDITIONS (if any) specifies one or more conditions for selecting modes, and MODES is a list of modes that can be selected.
1.7.6a	Modes of an ability are declared as the source card, activated-layer, or triggered-layer is added as a layer on the stack. (See Rule 5.1.4	and Rule 6.6.6a)
1.7.6b	If the ability allows the player to select two or more modes, they can not select the same mode more than once, unless specified by the ability. Example: Art of War has the text “Choose 2; [...]” followed by four modal options. Because the ability does not state that the player can choose the same option more than once, two distinct modes must be selected.
1.7.6c	If the same mode is selected more than once, the modes are considered separate and do not create a compound event (See Rule 1.9.2). If the mode contains a targeted effect, the same target(s) may be selected for each time the mode is selected. Example: Blood on Her Hands has the text “Target 1H weapon has +1{p} while attacking this turn.”, which is a mode that can be selected more than once. As a targeted effect, the player may target the same 1H weapon for each time it is chosen as a mode.
1.7.6d	Once the modes of a modal ability have been selected, those modes determine the abilities/effects of the source for rules and effects.
1.7.7.	A connected ability pair is a pair of abilities where the parameters and/or events of one connected ability (leading ability) are specifically referred to by the effect(s) of the other connected ability (following ability). Example: Reckless Swing has the text “As an additional cost to play Reckless Swing, discard a random card.”, which is a leading play-static ability that requires the player to discard a card, and “If the discarded card has 6 or more Attack, deal 2 damage to the attacking hero.”, which is a following resolution ability with an effect that directly refers to the card discarded from the event generated by an effect in the leading ability.
1.7.7a	An ability can be part of one or more connected ability pairs. An ability can be both a leading and following ability for different connected ability pairs.
1.7.7b	If a following ability can not refer to the parameters and/or events of the leading ability, or if there are no parameters and/or events to refer to, the relevant effects of the following ability fail.
1.7.7c	If an effect adds a connected ability pair (both the leading and following abilities) to an object, they are connected on that object and the added following ability will only refer to the added leading ability. If only one of the abilities is added, or both abilities are added by separate effects, then they are not connected on that object they are added to.
1.7.8.	The abilities of an object can be modified.
1.7.9.	The source of an ability is the card or token that has that ability. The source of abilities of an activated- layer or triggered-layer is the same as the source of the ability that created that layer.
1.7.9a	Activated-layers and triggered-layers exist independently of their source. If the source of an activated-layer or triggered-layer ceases to exist, it does not prevent the resolution of that layer.
1.7.10.	The controller of an activated-layer is the player who activated its source. The controller of a triggered-layer is the player who controlled its source when it triggered - if the source has no controller, the controller of the triggered-layer is player who owns the source.
1.8.	Effects
1.8.1.	An effect is generated by an ability or another effect, and can change the game state by producing events or applying changes to objects or the game itself. When a layer resolves, a static ability becomes functional, a card/ability with an alternative/additional effect-cost is played/activated, or the conditions of another effect is met, it may generate an ordered sequence of one or more discrete and/or continuous effects.
1.8.2.	An optional effect is an effect that is not compulsory to generate or apply. An optional effect typically contains the term “may”. When an optional effect would be generated, or would apply to objects or the game, the player instructed by the effect chooses whether or not to generate or apply the effect.
1.8.3.	A conditional effect is an effect that is dependent on a condition to be met. A conditional effect is typically written in the format “(If / During) [CONDITION], [EFFECT]”, where CONDITION is the condition that must be met for EFFECT to be generated/applied. Note: Cards printed before 2022 have also used the format “If [EVENT and/or STATE] [ABILITIES]” to denote a triggered effect. (See Section 6.6 - Triggered Effects)
1.8.3a	A conditional effect, written in the format “Otherwise [Effect]”, is an effect that is conditional on the opposite of a preceding conditional effect. This effect’s condition is met only when the preceding effect’s condition is not met. Example: Runeblade Incantation has the text “At the beginning of your action phase, remove a verse counter from Runeblood Incantation. If you do, create a Runechant token. Otherwise, destroy Runeblood Incantation.”, the latter part of which is a conditional discrete effect that is conditional on the failure to remove a verse counter from Runeblade Incantation.
1.8.3b	A conditional effect, written in the format “[EFFECT] unless [OPPCONDITION]”, is an effect that is conditional on the opposite of the OPPCONDITION. This effect’s condition is only met when the OPPCONDITION is not met, or the OPPCONDITION is an effect that fails (see Rule 1.8.8). If the OPPCONDITION is an effect instead of a condition, it is an optional effect. Note: An effect that reads “Deal 2 damage to the attacking hero unless they pay {r}.” can be read as “The attacking hero may pay {r}. If they don’t, deal 2 damage to them.” Example: Pitfall Trap has the text “Deal 2 damage to the attacking hero unless they pay {r}.”, which is a conditional discrete effect, that is conditional on the attacking hero not paying the asset-cost.
1.8.3c	A conditional effect, written in the format “[EFFECT] while [CONDITION]”, is an effect that only applies as along as CONDITION is met. The CONDITION is evaluated at all times while the effect exists. If the effect applies to one or more subjects, CONDITION is evaluated per subject. Example: Parable of Humility has the text “Attack action cards controlled by an opposing hero have -1{p} while attacking and defending.”, which is a conditional static-continuous effect that applies to more than one object and a condition that is checked per object that it applies to.
1.8.3d	If an effect is conditional on the properties of an object changing within a time-frame, the condition is only met if the change occurs to that object from one game state to another, and the change occurs within the specified time-frame. Changes that occur as an object becomes public, satisfy the condition of the change occurring. Example: Korshem, Crossroads of the Elements, has the text “[...] if [...] no card or token controlled by a hero has had {p} or {d} increased this turn, destroy Korshem, Crossroads of the Elements.”, which is an effect that is conditional on a the power and defense of a card not changing. If a card’s power or defense is increased from a continuous effect, even if that continuous effect only applies when the card is played or defended with, Korshem will not be destroyed at the end of that turn. If a card’s power or defense was increased in a previous turn, it will not prevent Korshem from being destroyed at the end of the current turn.
1.8.4.	A targeted effect is an effect where the target parameters are declared as the object with the ability that generates it is put onto the stack. Targeted effects always contain the phrase “target [DESCRIPTION]” or “[DESCRIPTION] (target/targets)” where DESCRIPTION is the specifics of one or more legal targets for the effect.
1.8.4a	Only objects in the arena or on the stack are targetable (can be selected a legal target), unless the effect specifies the legal target as a zone or an object that does not exist in the arena or on the stack. Example: Memorial Ground (red) has the text “Put target attack action card with cost 2 or less from your graveyard on top of your deck.” which describes a legal target as a card in the graveyard as opposed to a card in the arena or on the stack.
1.8.4b	The same legal target can not be declared more than once for any one instance of the target phrase.
1.8.4c	An effect that specifies one or more subjects to affect, but does not use the term “target”, is not a targeted effect. Non-target subjects do not need to be declared until the effect is generated. Example: Remembrance has the text “Shuffle up to 3 action cards from your graveyard into your deck.”, which is not a targeted effect because it does not use the term “target” before the specified subjects of the effect.
1.8.4d	If the DESCRIPTION of a legal target is “any”, then the legal targets are dependent on the application of the effect. In this context, a legal target is any target that does not cause the effect to fail for the current game state.
1.8.4e	If a targeted effect is optional, the player(s) instructed are not required to select a target. If a player does not select a target, the optional effect is not generated.
1.8.5.	If the parameters of an effect are undetermined at the time the effect is generated, the player instructed by the effect determines the parameters of the effect. If no legal parameters exist, then any part of the effect related to those parameters fail. Example: Remembrance has the text “Shuffle up to 3 action cards from your graveyard into your deck.”. This effect does not require targets when Remembrance is played on the stack, so when the effect is generated upon resolution, up to three action cards must be determined by the controlling player.
1.8.5a	If two or more players are instructed to determine the parameters of an effect, those players determine the parameters in clockwise order, starting with the turn player. (See Rule 1.1.6)
1.8.5b	If the parameters of an effect includes determining an object, the player can only determine objects that are public as parameters for the effect. (See Rule 3.0.3) Example: Oasis Respite has the text “Prevent the next 4 damage that would be dealt to target hero this turn by a source of your choice.”, which has a parameter that must be a public object.
1.8.6.	If an effect refers to the value of a property, it infers the existence of the property as well as its value. If an object does not have that property, it does not meet the condition of the existence of the property and thus the condition of the value of the property. Example: Harmonized Kodachi has the text “While you have a card in your pitch zone with cost 0, [...]”, which can be interpreted as “While you have a card in your pitch zone with the cost property and that value of that property is 0, [...]”. This means a card without the cost property, such as Heart of Fyendal, will not satisfy the condition if it is in the pitch zone. Example: Find Center has the text “Find Center can’t be defended by cards with cost less than the number of chain links you control, [...]”, which can be interpreted as “Find Center can not be defended by cards with the cost property, if the value of the cost property is less than the number of chain links you control, [...]”. This means cards without the cost property, such as Ironrot Helm, would be able to defend the attack. Example: Mutated Mass has the text “Mutated Mass’s {p} and {d} are equal to twice the number of cards in your pitch zone with different costs.”, which can be interpreted as “Mutated Mass’s {p} and {d} is equal to twice the number of cards in your pitch zone with the cost property, that have different costs.”. This means cards without the cost property, such as Heart of Fyendal, will not satisfy the condition (and be included in the calculation) if it is in the pitch zone.
1.8.6a	If an effect requires the value of a numeric property from a specific object without that property, then zero is used as the value for the purpose of the effect. Example: Ravenous rabble has the text “Reveal the top card of your deck. Ravenous Rabble gets -X{p}, where X is the pitch value of the card revealed this way.”. If the revealed card for this effect was Gorganian Tome, which does not have the pitch property, the value of X would be zero.
1.8.7.	If an effect instructs that a player may to do something as though a condition were true, the condition is considered met for the purposes of the applicable effect only.
1.8.8.	An effect fails if the target(s) of the effect cease to exist, if there are no legal parameters at the time the effect is generated, or if the events it creates fail to occur.
1.8.9.	The source of an effect is the same as the source of the ability or effect that generated it, unless otherwise specified by the effect. Example: Electrify has the text “The next time an attack action card hits a hero this turn, it deals 3 damage to them.”, which is a delayed-triggered effect that triggers to deal damage, specifying the source of the damage effect as the attack action card that caused the effect to trigger.
1.8.10.	The controller of an effect is the same as the controller of the ability or effect that generated it, unless otherwise specified by the effect.
1.9.	Events
1.9.1.	An event is a change in the game state produced by the resolution of a layer, the result of an effect, a transition of turn phase or combat step, or an action taken by a player. An event may involve physically changing the game state through one or more instructions - it can be modified by replacement effects (see Section 6.4 - Replacement Effects) and can trigger triggered effects (see Section 6.6 - Triggered Effects).
1.9.1a	If an event involves instructions that are performed on elements outside the game, that event can not be modified by replacement effects or trigger triggered effects within the game, unless the event directly interacts with the game. Example: Go Bananas has the text “Open and reveal a booster pack of Flesh and Blood and put all cards with the chosen name into your hand.”, which creates a ‘reveal’ event and a ‘put’ event as part of its resolution. The ‘reveal’ event only operates outside of the game, so any replacement effects and triggered effects within the game do not interact with it. The ‘put’ event directly interacts with the game by putting an object into a game zone, so replacement effects and triggered effects within the game may interact with it.
1.9.2.	A compound event is an event that involves performing the same instructions more than once. An effect that produces a compound event is typically written in a compact format, where the effect specifies to repeat an instruction a number of times. When a compound event occurs, it is expanded, and the instructions occur as individual events. Example: Tome of Harvests has the text “Draw 3 cards.”, which is an effect written in compact form, that produces a compound event that involves drawing a card three times. Each draw is performed as a individual event: draw a card, draw a card, draw a card.
1.9.2a	If a triggered effect triggers from a compound event, it does not trigger again for any of the individual events of that compound event. Example: Korshem, Crossroads of the Elements, has the text “Whenever a hero reveals 1 or more cards, [...]”, which is a triggered effect that triggers on the compound event of revealing one or more cards, but does not then trigger on any of the individual events from that compound event.
1.9.2b	If a replacement effect replaces a compound event, it can not replace any of the individual events of that compound event. Example: Mordred Tide has the text “Until end of turn, if you would create a Runechant token, instead create that many plus 1.”, which replaces the compound event that creates X Runechant tokens with a compound event that creates X + 1 Runechant tokens. It does not then replace each of the X + 1 individual “create a Runechant token” event with “create 2 Runechant tokens”.
1.9.3.	A composite event is an event that is made up of one or more internal events. An effect that produces a composite event typically uses an effect keyword. (See Section 8.5 - Effect Keywords) Example: When an attack deals damage during the damage step of combat, the “hit” composite event occurs, which contains the internal event of “deal damage”.
1.9.3a	If a composite event occurs, and the composite event and/or internal event(s) would trigger the triggered effect, the triggered effect only triggers once on the composite event.
1.9.3b	If a rule or effect prevents a triggered effect from triggering on a composite event and/or its internal event(s), then the triggered effect does not trigger on the composite event. Example: Stamp Authority has the text “Attack action card effects do not trigger when they hit.”, which prevents a triggered effect from triggering on the composite event “hit”. If a triggered effect from an attack action card would trigger on damage being dealt, and the attack action card “hits”, the effect will not trigger because the damage dealt is an internal event of the “hit” composite event.
1.9.3c	Replacement effects that partially modify internal events, do not modify the composite event that contains it, and therefore the composite event still occurs. The only exception is the hit event as part of the Damage Step of combat (see Rule 7.5.3). Example: Discard is a composite event that involves moving a card from the hand to the graveyard. If a replacement effect replaces the destination of the move event, then the discard event is still considered to occur.
1.9.3d	If no internal events of a composite event occur, then the composite event is considered not to have occurred, and triggered effects that trigger on the composite event and/or internal event(s) do not trigger. Example: Discard is a composite event that involves moving a card from the hand to the graveyard. If a replacement effect replaces the move event entirely, then the discard event is considered not to occur and abilities that trigger on discard are not triggered.
1.10.	Game State
1.10.1.	A game state is a moment in the game. The game transitions between states when players make actions or decisions, or when game state processes occur.
1.10.2.	When the game transitions to a new game state, the following game state actions are performed first: 1.10.2a	First, if one or more heroes have died, their player loses the game (or the game ends in a draw). (See Section 4.5 - Ending a Game)
1.10.2b	Second, if one or more living objects in the arena have 0 life total, they are cleared simultaneously as a single event. Living objects that cease to exist are considered to have died. (See Rule 2.5.1	and Rule 3.0.12)
1.10.2c	Third and finally, if a triggered-layer has been created it is added to the stack. If two or more triggered-layers have been created, they are added to the stack in an order chosen by the turn player.
1.10.3.	If a player makes an illegal action, or starts to make an action that becomes illegal to complete, the game state is reversed to the legal state before that action started.
1.10.3a	Triggered effects do not trigger as a result of the action being reversed.
1.10.3b	Replacement effects can not replace any event as a result of the action being reversed.
1.10.3c	If the game state can not be reversed, as much as possible about the state is reversed and the game continues as though it were the last legal state before the reversal.
1.11.	Priority
1.11.1.	Priority is a game state concept that describes which player (if any), may play a card, activate an ability, or pass priority to the next player.
1.11.2.	Only one player can have priority at any point in time. A player who has priority is the “active player”. A player who does not have priority is an “inactive player”.
1.11.3.	The Action Phase is the only phase when players get priority. Within the action phase, players do not get priority during the Damage Step or Close Step of combat. At the beginning of the action phase, during most steps of combat, and after the resolution of a layer, the turn player gains priority. (See Section 4.2 - Start Phase, Chapter 7 - Combat, and Section 5.3 - Resolution Abilities & Resolving Layers)
1.11.4.	The active player may pass priority to the next player, referred to as “pass”.
1.11.4a	If a player passes, priority is given to the next player in clockwise order (see Rule 1.1.6). Typically, if all players pass in succession without playing any cards or activating any abilities, and the stack is not empty, the top layer of the stack resolves (see Section 5.3 - Resolution Abilities & Resolving Layers) - otherwise if the stack is empty, the phase or step ends (see Chapter 4 - Game Structure and Chapter 7 - Combat).
1.11.5.	When a player plays a card, activates an ability, or passes, they lose priority until they receive it again from a rule. Players do not have priority while playing a card, activating an ability, resolving a layer, during a game process, and/or game static actions.
1.12.	Numbers and Symbols
1.12.1.	Numbers are always integers.
1.12.1a	If a rule or effect would calculate a fractional number and does not specify to round up or down, the number is rounded towards zero. Example: An effect that would calculate the number 3.5 would be rounded down to 3, but the number -3.5 would be rounded up to -3.
1.12.1b	If a rule or effect requires a player to choose a number, the number selected must be a non-negative integer - zero and above.
1.12.2.	The letter X is used to represent a value that starts undefined and is defined later by a rule or effect.
1.12.2a	If an object has a property with the value X, and the value of X undefined, the object is still considered to have that property and the value of X is evaluated to be zero.
1.12.2b	If an object has a property with the value X, and the value of X is defined, it remains defined until the object ceases to exist.
1.12.2c	If there are two or more undefined values in the same context, the letters Y and Z may be also used to represent those undefined values.
1.12.3.	The asterisk symbol (*) is used to represent a value that is defined by a meta static ability.
1.12.3a	If an object has a property with the value (*) and the property-static ability can not be used to define the value, the object is still considered to have that property and the value of (*) is evaluated to be zero. Example: Mutated Mass has an ability that defines its power and defense as double the total number of distinct costs of cards in the pitch zone. Outside of a game, this ability can not be used to define the power and defense, so they are instead evaluated to be zero.
1.12.3b	If an object has a property with the value (*) and the ability can be used to define the value, then (*) is evaluated according to the ability.
1.12.4.	Symbols are typically used to represent the value of specified properties. (See Chapter 2 - Object Properties)
1.12.4a	The defense symbol is {d} and represents a defense value.
1.12.4b	The intellect symbol is {i} and represents a intellect value.
1.12.4c	The life symbol is {h} and represents a life value.
1.12.4d	The power symbol is {p} and represents a power value. It is also used to refer to physical damage (see Rule 8.5.3e).
1.12.4e	The resource symbol is {r} and represents a resource value.
1.13.	Assets
1.13.1.	An asset is a point of a given type, owned by a player. There are two types of assets: action points and resource points.
1.13.2.	An action point is an asset that is typically used to play an action card and/or activate an action ability.
1.13.2a	The turn player can gain action points from the following: at the start of their action phase (see Section 4.3 - Action Phase), the ability go again (see Rule 8.3.5), and effects that grant the player action points.
