Unique ID	Name	Color	Pitch	Cost	Power	Defense	Health	Intelligence	Arcane	Types	Traits	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Removed Keywords	Interacts with Keywords	Functional Text	Type Text	Card Played Horizontally	Blitz Legal	CC Legal	Silver Age Legal	Commoner Legal	LL Legal
6j7RrdTPfczH7PhHm8Brq	Absorption Dome	Yellow	2	0						Mechanologist, Action, Item							Boost	"This enters the arena with steam counters on it equal to the number of times you've **boosted** this turn.

If you would be dealt damage, instead remove that many steam counters from this and prevent damage that source would deal equal to the number of steam counters removed this way.

When this has no steam counters on it, destroy it."	Mechanologist Action - Item				No	No	
RgpCmQGg9tfTwjjNwCrcD	Abyssal Bite	Blue	3	1		2				Shadow, Action		Go again, Blood Debt						"You may play this from your banished zone.

Your next Shadow attack this turn gets +1{p}. **Go again**

**Blood Debt**"	Shadow Action						
JqhgfgQp8tPKCQRwBJbDj	Abyssal Force	Blue	3	1		2				Shadow, Action		Go again, Blood Debt			Overpower			"You may play this from your banished zone.

Your next Shadow attack this turn gets **overpower**.

**Go again**

**Blood Debt**"	Shadow Action						
CDfjhqwtJdnWgHrzPhNrt	Abyssal Rush	Blue	3	1		2				Shadow, Action		Go again, Blood Debt			Go again			"You may play this from your banished zone.

Your next Shadow attack this turn gets ""When this hits, it gets **go again**."" **Go again**

**Blood Debt**"	Shadow Action						
C7jcJhrdpQTMfd7F79jK9	Achilles Accelerator					0				Mechanologist, Equipment, Legs		Arcane Barrier 1	Instant				Boost	"**Instant** - Destroy this: Gain 1 action point. Activate this only if you've **boosted** this turn.

**Arcane Barrier 1**"	Mechanologist Equipment - Legs						
WfmfkqC8wcW9qjNDJ8qDb	Acrid Stench	Red	1	0	3	2				Shadow, Necromancer, Action, Attack		Go again						"When this attacks, you may discard a zombie. If you do, create a Corrupted Corpse in your banished zone.

**Go again**"	Shadow Necromancer Action - Attack						
mtjmCd88qqFtRtJKjdwWw	Acrid Stench	Yellow	2	0	2	2				Shadow, Necromancer, Action, Attack		Go again						"When this attacks, you may discard a zombie. If you do, create a Corrupted Corpse in your banished zone.

**Go again**"	Shadow Necromancer Action - Attack						
PKq8KHtBMRWKQBKJn6mPP	Acrid Stench	Blue	3	0	1	2				Shadow, Necromancer, Action, Attack		Go again						"When this attacks, you may discard a zombie. If you do, create a Corrupted Corpse in your banished zone.

**Go again**"	Shadow Necromancer Action - Attack						
gDzD7QkWQPMFTHNmGpHbJ	Act of Glory	Red	1	4		3				Guardian, Instant, Aura		Suspense						"**Suspense**

When this leaves the arena, your next attack this turn gets +6{p}."	Guardian Instant - Aura						
c7L7tfCdjwwjb9MQfTNDQ	Act of Glory	Yellow	2	4		3				Guardian, Instant, Aura		Suspense						"**Suspense**

When this leaves the arena, your next attack this turn gets +5{p}."	Guardian Instant - Aura						
mb9NWzptP6Cnzk9tjMP8f	Act of Glory	Blue	3	4		3				Guardian, Instant, Aura		Suspense						"**Suspense**

When this leaves the arena, your next attack this turn gets +4{p}."	Guardian Instant - Aura						
Wmr8NmHdQCmPCbMBPncTq	Adaptive Alpha Mold					1				Mechanologist, Equipment, Base		Modular, Battleworn						"**Modular**

**Action** - 0: Equip this to another equipment zone.

**Battleworn**"	Mechanologist Equipment - Base				No	No	
8TPwpCdF6GRn7cQRRGjQJ	Adaptive Dissolver									Mechanologist, Equipment, Base		Modular, Arcane Barrier 1	Action					"**Modular**

**Action** - 0: Equip this to another equipment zone.

**Arcane Barrier 1**"	Mechanologist Equipment - Base				No	No	
mkTDPKqkm7cprrDzWbF9z	Adaptive Plating					1				Mechanologist, Equipment		Modular, Galvanize, Blade Break	Action					"**Modular**

**Action** - 0: Equip this to another equipment zone.

**Galvanize** - When this defends, you may destroy an item you control. If you do, this gets +2{d} until end of turn.

**Blade Break**"	Mechanologist Equipment				No	No	
W7wh8hBkTd9ntjtFfqrdz	Adrenaline Rush	Red	1	2	4	2				Generic, Action, Attack								When this is played, if you have less {h} than an opposing hero, this gets +3{p}.	Generic Action - Attack						
KjgnpjTfDBhndccFCCDHn	Adrenaline Rush	Yellow	2	2	3	2				Generic, Action, Attack								When this is played, if you have less {h} than an opposing hero, this gets +3{p}.	Generic Action - Attack						
bTCfkj7Q8WQKHcnhGqHCr	Adrenaline Rush	Blue	3	2	2	2				Generic, Action, Attack								When this is played, if you have less {h} than an opposing hero, this gets +3{p}.	Generic Action - Attack						
KtgRgFrrFDpzMQDJLLMwt	Aegis, Archangel of Protection				4		4			Light, Angel, Ally		Ward 4	Once per Turn Action	Attack				"**Once per Turn Action** - {r}{r}: **Attack**

When Aegis attacks, you may banish a card from your hero's soul. If you do, create 2 Spectral Shield tokens.

**Ward 4**"	Light - Angel Ally				No	No	
BzkLdhrmkWpnbDBWNMJhp	Aether Arc	Blue	3	0		3			1	Wizard, Action								"Deal 1 arcane damage to each opposing hero.

Create a Ponder token for each hero dealt damage this way."	Wizard Action				No	No	
pLwDDWbJgbKkQCpzDrc7Q	Aether Ashwing				1		1			Draconic, Illusionist, Token, Dragon, Ally		Arcane Barrier 1						**Arcane Barrier 1**	Draconic Illusionist Token - Dragon Ally						
8rwTJkbzktjbhbQbPCKrc	Aether Bindings of the Third Age					1				Wizard, Equipment, Arms		Battleworn	Instant	Amp 1				"**Instant** - Destroy this: Until end of turn, whenever an aura permanent you control with Sigil in its name leaves the arena, **amp 1**.

**Battleworn**"	Wizard Equipment - Arms				No	No	
HFnfqgNGj6JdDwMjDC7KQ	Aether Conduit								2	Wizard, Weapon, Staff, 2H			Once per Turn Action					**Once per Turn Action** - {r}{r}: Deal 2 arcane damage to target hero.	Wizard Weapon - Staff (2H)						
BhFQMNHMHH9ddMH86tqQ9	Aether Crackers					0			1	Runeblade, Equipment, Arms								When an attack you control hits a hero, you may destroy this. If you do, deal 1 arcane damage to them.	Runeblade Equipment - Arms						
w6BQnKDGdGkHCTzjF6htg	Aether Dart	Red	1	0		3			3	Wizard, Action								Deal 3 arcane damage to any target.	Wizard Action						
cdTzctFmkNMpNK6HzT8nd	Aether Dart	Yellow	2	0		3			2	Wizard, Action								Deal 2 arcane damage to any target.	Wizard Action						
PMwLzbCCndFwFww6nrzDf	Aether Dart	Blue	3	0		3			1	Wizard, Action								Deal 1 arcane damage to any target.	Wizard Action						
jJchLwfJKhdhk8Hw7R6KP	Aether Flare	Red	1	1		3			3	Wizard, Action								"Deal 3 arcane damage to target opposing hero.

The next card you play this turn with an arcane damage effect, instead deals that much arcane damage plus X, where X is the damage dealt by this."	Wizard Action						
zgkKwhBtRQf9zWz6kpPJR	Aether Flare	Yellow	2	1		3			2	Wizard, Action								"Deal 2 arcane damage to target opposing hero.

The next card you play this turn with an arcane damage effect, instead deals that much arcane damage plus X, where X is the damage dealt by this."	Wizard Action						
bbGgprKNzmQPQP9P6CQkL	Aether Flare	Blue	3	1		3			1	Wizard, Action								"Deal 1 arcane damage to target opposing hero.

The next card you play this turn with an arcane damage effect, instead deals that much arcane damage plus X, where X is the damage dealt by this."	Wizard Action						
QKhbmNTMMfFNmDkp7gcRd	Aether Hail	Red	1	1		3			4	Ice, Wizard, Action								Deal 4 arcane damage to any target.	Ice Wizard Action						
jjrTzdzpWGzMQpFcnfhKN	Aether Hail	Yellow	2	1		3			3	Ice, Wizard, Action								Deal 3 arcane damage to any target.	Ice Wizard Action						
zDTzDhgpDhCNzqqkPMDW7	Aether Hail	Blue	3	1		3			2	Ice, Wizard, Action								Deal 2 arcane damage to any target.	Ice Wizard Action						
jGzKJnCwkjfHhPhRzk7gj	Aether Icevein	Red	1	3		3			5	Elemental, Wizard, Action		Ice Fusion						"**Ice Fusion**

Deal 5 arcane damage to any target. If this was **fused** and deals damage to a hero, they discard a card unless they pay {r}{r}."	Elemental Wizard Action						
DJDqrcJFQNWHPfPjhQNG8	Aether Icevein	Yellow	2	3		3			4	Elemental, Wizard, Action		Ice Fusion						"**Ice Fusion**

Deal 4 arcane damage to any target. If this was **fused** and deals damage to a hero, they discard a card unless they pay {r}{r}."	Elemental Wizard Action						
PRDqBbn6d9cWtWjMjptKj	Aether Icevein	Blue	3	3		3			3	Elemental, Wizard, Action		Ice Fusion						"**Ice Fusion**

Deal 3 arcane damage to any target. If this was **fused** and deals damage to a hero, they discard a card unless they pay {r}{r}."	Elemental Wizard Action						
wd9TtjtPGfbWKQPprJfj9	Aether Ironweave					1				Runeblade, Equipment, Chest		Battleworn	Action	Go again				"**Action** - Destroy this: Gain {r}{r}. Activate this only if you've played an attack action card and a non-attack action card this turn. **Go again**

**Battleworn**"	Runeblade Equipment - Chest						
BrJTbrWqKzQRmRLrfbmcb	Aether Quickening	Red	1	1		3			4	Wizard, Action		Surge, Go again						"Deal 4 arcane damage to target hero.

**Surge** - If this deals more than 4 damage, it gets **go again**."	Wizard Action						
KKRrkTpNjNQB9wmwGCCGF	Aether Quickening	Yellow	2	1		3			3	Wizard, Action		Surge, Go again						"Deal 3 arcane damage to target hero.

**Surge** - If this deals more than 3 damage, it gets **go again**."	Wizard Action						
ntkQpCD8QdNG6KMNchJNw	Aether Quickening	Blue	3	1		3			2	Wizard, Action		Surge, Go again						"Deal 2 arcane damage to target hero.

**Surge** - If this deals more than 2 damage, it gets **go again**."	Wizard Action						
b7h97MzpKF8mNqMr8B9Fq	Aether Sink	Yellow	2	1						Mechanologist, Action, Item			Action, Instant	Go again, Arcane Barrier 2				"This enters the arena with a steam counter.

**Action** - {r}: If there are no steam counters on this, put a steam counter on it. **Go again**

**Instant** - Remove a steam counter from this: This gets **Arcane Barrier 2** until end of turn."	Mechanologist Action - Item					No	
CNpTdPFLhRdt6N7qgQqkC	Aether Slash	Red	1	1	4	3			1	Runeblade, Action, Attack								When this attacks, if a non-attack action card was pitched to play this, deal 1 arcane damage to any target.	Runeblade Action - Attack						
f6WQfPKfkjbdj9FpC8zDw	Aether Slash	Yellow	2	1	3	3			1	Runeblade, Action, Attack								When this attacks, if a non-attack action card was pitched to play this, deal 1 arcane damage to any target.	Runeblade Action - Attack						
PgRT6QwWgcLdGhcNLHfmj	Aether Slash	Blue	3	1	2	3			1	Runeblade, Action, Attack								When this attacks, if a non-attack action card was pitched to play this, deal 1 arcane damage to any target.	Runeblade Action - Attack						
hwTCzg9hgmBpj86czpKMq	Aether Spindle	Red	1	2		3			4	Wizard, Action		Opt X						"Deal 4 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by this."	Wizard Action					No	
7kLCKQ6thffmpJQpLhzzJ	Aether Spindle	Yellow	2	2		3			3	Wizard, Action		Opt X						"Deal 3 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by this."	Wizard Action					No	
Bd8bgdrphcfzHhTNtbmPr	Aether Spindle	Blue	3	2		3			2	Wizard, Action		Opt X						"Deal 2 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by this."	Wizard Action					No	
CrWjLrqtQtppQhQCMt9LH	Aether Wildfire	Red	1	2		3			4	Wizard, Action								"Deal 4 arcane damage to target opposing hero.

If this was played during an opponent's turn, until end of turn, action card effects that deal arcane damage instead deal that much arcane damage plus X, where X is the damage dealt by this."	Wizard Action				No	No	
hp6NPdQkGkWhrwpd7JWTF	Aetherize	Blue	3	1						Wizard, Instant		Negate						**Negate** target instant card with cost 1 or less.	Wizard Instant				No	No	
9zRFqTmPffQ8Q8dKbPdrb	Aethersling	Red	1	1		2			4	Wizard, Action		Go again						"Deal 4 arcane damage to any target.

If this deals damage, you may {t} your hero. If you do, this gets **go again**."	Wizard Action					No	
hTQgmpCHwLFgQnFbgf6tC	Aetherstorm Wellingtons					0				Wizard, Equipment, Legs		Arcane Barrier 2						**Arcane Barrier 2**	Wizard Equipment - Legs						
7brgFMk9NrkLtzqKrhFFW	Affirm Loyalty	Red	1	0		2				Draconic, Warrior, Attack Reaction								Target dagger attack gets +2{p}. If you control 2 or more Draconic chain links, create a Fealty token.	Draconic Warrior Attack Reaction					No	
QrQCpQFPnLLPqN8qKgpTp	Aftershock	Red	1	4	8	3				Guardian, Action, Attack								When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.	Guardian Action - Attack					No	
qjmwqndpkqntDpKCcTcbp	Aftershock	Yellow	2	4	7	3				Guardian, Action, Attack								When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.	Guardian Action - Attack					No	
Tdqgbj6LhfPt6HzTHTwFK	Aftershock	Blue	3	4	6	3				Guardian, Action, Attack								When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.	Guardian Action - Attack					No	
k7MhcFckGBzRHjNQ6WhMR	Aggressive Pounce	Red	1	2	6	3				Brute, Action, Attack		Go again					Intimidate	If you've intimidated an opponent this turn, this gets **go again**.	Brute Action - Attack						
zRmqkJcWnz6H9cTjB8DqF	Aggressive Pounce	Yellow	2	2	5	3				Brute, Action, Attack		Go again					Intimidate	If you've intimidated an opponent this turn, this gets **go again**.	Brute Action - Attack						
JCRhKzfTd6pJCpdrwL8rt	Aggressive Pounce	Blue	3	2	4	3				Brute, Action, Attack		Go again					Intimidate	If you've intimidated an opponent this turn, this gets **go again**.	Brute Action - Attack						
tFKpRnDbfcwtC8dwqm9qm	Agile Engagement	Red	1	1		2				Warrior, Attack Reaction								Target Warrior attack gets +3{p}. If it's defended by an attack action card, create an Agility token.	Warrior Attack Reaction						
9czLrcQJTpWrCcJRm8dnz	Agile Engagement	Yellow	2	1		2				Warrior, Attack Reaction								Target Warrior attack gets +2{p}. If it's defended by an attack action card, create an Agility token.	Warrior Attack Reaction						
Mj9fkHtdrzzmDw8RNCKmT	Agile Engagement	Blue	3	1		2				Warrior, Attack Reaction								Target Warrior attack gets +1{p}. If it's defended by an attack action card, create an Agility token.	Warrior Attack Reaction						
Rmm8PgnzKNNfLcnKh86jd	Agile Windup	Red	1	3	7	2				Brute, Warrior, Action, Attack			Instant					**Instant** - Discard this: Create an Agility token.	Brute / Warrior Action - Attack						
rbzdbLWNThgMnfbcpj7zK	Agile Windup	Yellow	2	3	6	2				Brute, Warrior, Action, Attack			Instant					**Instant** - Discard this: Create an Agility token.	Brute / Warrior Action - Attack						
h9jqjKPhPLfwCdgkQ9NBB	Agile Windup	Blue	3	3	5	2				Brute, Warrior, Action, Attack			Instant					**Instant** - Discard this: Create an Agility token.	Brute / Warrior Action - Attack						
WqTTMjDgKKCp7Lnb7LH6d	Agility									Generic, Token, Aura					Go again			At the start of your turn, destroy this, then your next attack this turn gets **go again**.	Generic Token - Aura						
DfHHPcLzbncDMhkJgQKKm	Agility Stance	Yellow	2	0		3				Warrior, Action, Aura		Go again			Go again			"**Go again**

At the start of your turn, destroy this, then your dagger attacks get **go again** this turn."	Warrior Action - Aura					No	
BcJhMTnwWRcdhGHMCpr8H	Air of a Comeback									Event								You may put a non-attack action card from your graveyard on top of your deck. If you have no cards in hand, instead you may play it this turn from your graveyard without paying its {r} cost.	Event		No	No	No	No	No
FRcp7jQfPRK6h8NfrJ77h	All In	Red	1	0		3				Warrior, Action		Go again						"The next time a sword you control attacks this turn, destroy all Gold you control. The attack gets +2{p} for each Gold destroyed this way. When the chain link resolves, if the attack didn't hit, you lose the game.

**Go again**"	Warrior Action				No	No	
nBf66Gt7ghRTqhn7nNqKh	Alluring Inducement	Yellow	2	2	2	2				Shapeshifter, Action, Attack		Shiyana Specialization, Unity						"**Shiyana Specialization**

When this attacks, the defending hero reveals their hand. You may choose an attack action card revealed this way. If you do, this becomes the chosen card.

**Unity** - When this defends together with a card from hand, create an Eloquence token under any number of heroes' control."	Shapeshifter Action - Attack				No	No	
DgpbP8LBpCffdNgH8t9LB	Alluvion Constellas					0				Wizard, Equipment, Chest		Arcane Barrier 1	Instant					"The first time this prevents arcane damage each turn, if it has less than 4 energy counters, you may put an energy counter on it.

**Instant** - Remove 2 energy counters from this: The next staff ability you activate this turn costs {r}{r}{r} less to activate.

**Arcane Barrier 1**"	Wizard Equipment - Chest				No	No	
kBJJjzp8KMrRWcwMwKWcW	Alpha Instinct	Blue	3	3	6	0				Brute, Action, Attack	Rhinar Specialization	Rhinar Specialization						"**Rhinar Specialization**

When this is discarded to beat chest, create a Might token."	Brute Action - Attack				No	No	
GgDFFHhLh8Kc7tJK8nBLj	Alpha Rampage	Red	1	3	9	3				Brute, Attack, Action		Rhinar Specialization, Intimidate						"**Rhinar Specialization**

As an additional cost to play this, discard a random card.

When this attacks, **intimidate**."	Brute Action - Attack				No	No	
7nk7cnttWTLRfKgLWnWwP	Already Dead	Red	1	2	6	3				Assassin, Action, Attack		Contract						"**Contract** - You are contracted to banish opponents' non-action cards. Whenever you complete this contract, create a Silver token.

When this hits a hero, banish the top card of their deck and a defending card."	Assassin Action - Attack				No	No	
rnCGHPJFzCqjPfbkJTKHM	Amethyst Amulet	Blue	3	0						Generic, Action, Item		Legendary, Watery Grave	Instant					"**Instant** - Destroy this: Your next attack this turn gets +2{p}.

**Legend of the Watery Grave**"	Generic Action - Item				No	No	
tqL9KdjgkjfnQ98H97dJw	Amethyst Tiara					1				Runeblade, Equipment, Head		Blade Break	Instant		Spellvoid 1			"**Instant** - Destroy this: Runechants you control get **Spellvoid 1** this turn.

**Blade Break**"	Runeblade Equipment - Head				No	No	
87BJMWWHfPLKMqPbtmFHQ	Amnesia	Red	1	2	6	3				Generic, Action, Attack								When this hits a hero, cards and tokens they own lose and can't gain names until the start of your next turn.	Generic Action - Attack				No	No	
GFRQBDGRhL9DMtwzKq7CL	Amplify the Arknight	Red	1	3	6	3				Runeblade, Action, Attack								This costs {r} less to play for each Runechant you control.	Runeblade Action - Attack						
zdgkJ9mtbmkbQfpzm9Thc	Amplify the Arknight	Yellow	2	3	5	3				Runeblade, Action, Attack								This costs {r} less to play for each Runechant you control.	Runeblade Action - Attack						
zmmpt8q8HqPFwPKK66Mjm	Amplify the Arknight	Blue	3	3	4	3				Runeblade, Action, Attack								This costs {r} less to play for each Runechant you control.	Runeblade Action - Attack						
qQpfrfHQMP8ND8NjBK6pM	Amplifying Arrow	Yellow	2	0	2	3				Ranger, Action, Arrow, Attack								While this is face-up in any zone, if it would gain {p}, instead it gains that much plus 1.	Ranger Action - Arrow Attack				No	No	
zDfRfgF6fn7WGTKcj67JK	Amulet of Assertiveness	Yellow	2	0						Generic, Action, Item		Go again	Attack Reaction					"**Go again**

**Attack Reaction** - Destroy this: Target attack gets ""When this hits, banish the top card of your deck. If it's an attack action card, you may play it this turn."" Activate this only if you have 4 or more cards in hand."	Generic Action - Item					No	
8PgrwjDp8NNrz9mDGDP8B	Amulet of Earth	Blue	3	0						Earth, Action, Item		Go again	Instant				Fusion	"**Go again**

**Instant** - Destroy this: Attack action cards you control get +1{p} and +1{d} this turn. Activate this only if you've **Earth fused** this turn."	Earth Action - Item						
fgWtKprkRGWMhWwkCPJFm	Amulet of Echoes	Blue	3	0						Generic, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy this: Target hero discards 2 cards. Activate this only if they have played 2 or more cards with the same name this turn."	Generic Action - Item					No	
77rfcbF6JzTp98njhmLrq	Amulet of Havencall	Blue	3	0						Generic, Action, Item		Go again	Defense Reaction					"**Go again**

**Defense Reaction** - Destroy this: Search your deck for a Rally the Rearguard, add it to this chain link as a defending card, then shuffle. Activate this only if you have no cards in hand."	Generic Action - Item					No	
t6MkmHjPRNghmMcMQbqch	Amulet of Ice	Blue	3	0						Ice, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy this: Target hero discards a card unless they pay {r}{r}. Activate this only if you've **Ice fused** this turn."	Ice Action - Item						
LPkdwMCjwHHMC6wkHCbRb	Amulet of Ignition	Yellow	2	0						Generic, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy this: The next ability you activate this turn costs {r} less to activate. Activate this only if you haven't played a card or activated an ability this turn."	Generic Action - Item					No	
77HjThGWgwMQMqDRNBLMc	Amulet of Intervention	Blue	3	0						Generic, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy this: Prevent the next 1 damage that would be dealt to you this turn. Activate this only while your hero is the target of a source that would deal lethal damage."	Generic Action - Item					No	
fCzgQtjJ9Q8gdrPq9t7Wc	Amulet of Lightning	Blue	3	0						Lightning, Action, Item		Go again	Instant		Go again			"**Go again**

**Instant** - Destroy this: Target action card gets **go again**. Activate this only if you've **Lightning fused** this turn."	Lightning Action - Item						
rtq8MPBRKQzBpWTWRpj8t	Amulet of Oblation	Blue	3	0						Generic, Action, Item		Go again	Instant					"**Go again**

**Instant** - Destroy this: Until end of turn, target attack action card gets ""If this would be put into a graveyard, instead put it on the bottom of its owner's deck."" Activate this only if a card has entered a graveyard this turn."	Generic Action - Item					No	
b8QzFkMC9fKfngpQHwNBK	Anaphylactic Shock	Blue	3	0						Assassin, Instant, Trap								Each opposing hero and ally that has dealt damage to you this turn loses 1{h}.	Assassin Instant - Trap				No	No	
qCDqQNmzPzM8DfbRPBqWj	Ancestral Empowerment	Red	1	0		3				Ninja, Attack Reaction								"Target Ninja attack action card gets +1{p}.

Draw a card."	Ninja Attack Reaction				No	No	
qdbgkqgpTRMQQPr7jcdQL	Ancestral Harmony	Blue	3	0		3				Ninja, Action		Go again					Combo	"Your attacks with **combo** get +1{p} this turn.

Banish the top card of your deck. If it has **combo**, you may play it this turn.

**Go again**"	Ninja Action				No	No	
jFzmfHhmDN7gJTKngdL9m	Ancient Earth Oak	Red	1	3	6	3				Ice, Action, Attack		Earth Bond						"When this hits a hero, create a Frostbite token under their control.

**Earth Bond** - If an Earth card was pitched to play this, this gets +2{p} and ""When this hits a hero, put this on the bottom of its owner's deck."""	Ice Action - Attack				No	No	
ncw9gNCtknnPLww6gGzGC	And Again...	Blue	3	1		3				Warrior, Action		Attack					Sharpen	**Attack** with target sword that has been sharpened and you've attacked with this turn.	Warrior Action				No	No	
CFkkCCFjGpQMLrRgFd87W	Angelic Attendant	Yellow	2	0		3				Light, Illusionist, Action		Awaken, Go again						"**Awaken** target figment you control.

Put this into your soul.

**Go again**"	Light Illusionist Action				No	No	
bnhnjB7ggkRhpfqQHn6D6	Angelic Descent	Red	1	0						Light, Illusionist, Instant					Go again			"Target attack action card with Herald in its name gets **go again**.

Your next angel attack this turn gets +3{p}."	Light Illusionist Instant						
GNPNfqF7phg8dcbCBRjtC	Angelic Descent	Yellow	2	0						Light, Illusionist, Instant					Go again			"Target attack action card with Herald in its name gets **go again**.

Your next angel attack this turn gets +2{p}."	Light Illusionist Instant						
zr7wdChDbJcWmfrbTFBrw	Angelic Descent	Blue	3	0						Light, Illusionist, Instant					Go again			"Target attack action card with Herald in its name gets **go again**.

Your next angel attack this turn gets +1{p}."	Light Illusionist Instant						
GGDBMFMgCgn9wmWG6jMkq	Angelic Wrath	Red	1	0						Light, Illusionist, Instant								Target attack action card with Herald in its name gets +4{p}.	Light Illusionist Instant						
DHLWgwppG9tBkQkBqHBKB	Angelic Wrath	Yellow	2	0						Light, Illusionist, Instant								Target attack action card with Herald in its name gets +3{p}.	Light Illusionist Instant						
QDrMdfMCqDCjTpkBQmdJD	Angelic Wrath	Blue	3	0						Light, Illusionist, Instant								Target attack action card with Herald in its name gets +2{p}.	Light Illusionist Instant						
kQ6FBdQthJqphzBCzPcB9	Angry Bones	Red	1	2	6	3				Pirate, Necromancer, Action, Attack							Watery Grave	When this attacks, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +1{p}.	Pirate Necromancer Action - Attack						
jGn7mnKcjTLRfgQH9kChJ	Angry Bones	Yellow	2	2	5	3				Pirate, Necromancer, Action, Attack							Watery Grave	When this attacks, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +1{p}.	Pirate Necromancer Action - Attack						
7MCWwM6pBCDcRdFRmTJRC	Angry Bones	Blue	3	2	4	3				Pirate, Necromancer, Action, Attack							Watery Grave	When this attacks, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +1{p}.	Pirate Necromancer Action - Attack						
JjKJRwQPTtgpcCcLrDRwF	Anka, Drag Under	Yellow	2	2	5		3			Pirate, Necromancer, Action, Ally		Watery Grave	Action	Attack			Watery Grave	"**Action** - {r}, {t}: **Attack**

**Instant** - {t}, discard a card with watery grave: The next time an opponent draws one or more cards this action phase, they discard a card.

**Watery Grave**"	Pirate Necromancer Action - Ally				No	No	
9gnHtCMJBbDQjqk8cWmhN	Annals of Sutcliffe									Runeblade, Weapon, Book, 2H								**Once per Turn Action** - {r}{r}{r}: Draw a card. If an attack action card and a non-attack action card were pitched this way, create a Runechant token.	Runeblade Weapon - Book (2H)						
nh8bCzbkjmR6hPkTCFLrz	Annexation of All Things Known	Yellow	2	5	8	3				Guardian, Action, Attack		Crush						**Crush** - When this deals 4 or more damage to a Guardian hero, until the end of your next turn, they can't play face-up cards from arsenal, and you may play face-up cards from their arsenal.	Guardian Action - Attack					No	
hrRRtK6qNccfpgphQJwMd	Annexation of Grandeur	Yellow	2	5	8	3				Guardian, Action, Attack		Crush						**Crush** - When this deals 4 or more damage to a Guardian hero, gain control of an aura they control.	Guardian Action - Attack					No	
