Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variation	Artist	Flavor Text	Image URL	TCGPlayer ID																																							
PGFghMPHRhrgKpJQBQjgH	fTbpMzhTMBwFNCpGKCft7	Bloodrush Bellow	2	1HP014	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Wisnu Tan		https://storage.googleapis.com/fabmaster/media/images/1HP014.width-450.png																																								
fPrbqhcgCWC7fgWk78TRM	BpjDRjGcMhFQkKQLnLLkQ	Sand Sketched Plan	3	1HP015	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Ksenia Belova		https://storage.googleapis.com/fabmaster/media/images/1HP015.width-450.png																																								
7pNFRqghJjzdNdnQ96hKL	h9W6rrHqhh8p7bzH7tKmH	Breakneck Battery	1	1HP016	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Adolfo Navarro		https://storage.googleapis.com/fabmaster/media/images/1HP016.width-450.png																																								
mP8QChp8TWTKKQPcJbgnW	jk9DMwtQDGFNpG7CBghpw	Breakneck Battery	2	1HP017	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Adolfo Navarro		https://storage.googleapis.com/fabmaster/media/images/1HP017.width-450.png																																								
fKj6FhKhzKPqRhwpWKpKB	NDtf9QNdnRFLkjncQDRgM	Breakneck Battery	3	1HP018	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Adolfo Navarro		https://storage.googleapis.com/fabmaster/media/images/1HP018.width-450.png																																								
G9jcP9KMzHtF6j8mmw6Mc	mFdkTGPQDnWjLB9Tgmdmm	Savage Feast	1	1HP019	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Vladimir Shatunov		https://storage.googleapis.com/fabmaster/media/images/1HP019.width-450.png																																								
8Lk7tCCgbFhmqP8tRkhm6	8t8CJMmCJTFtfF98wRTLr	Savage Feast	2	1HP020	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Vladimir Shatunov		https://storage.googleapis.com/fabmaster/media/images/1HP020.width-450.png																																								
NfCp7fn99Hgr8tzGmkHJK	FkLTfnTqkjBKt9Ch9m8C8	Savage Feast	3	1HP021	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Vladimir Shatunov		https://storage.googleapis.com/fabmaster/media/images/1HP021.width-450.png																																								
kRLmzmfpJQc8LJfMBgFLf	WCgctGz6KWwfp9Dhd7H7c	Barraging Beatdown	1	1HP022	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Olga Khariton		https://storage.googleapis.com/fabmaster/media/images/1HP022.width-450.png																																								
mQmg9j9dCgmqmJbbbhL7h	7zrn7HFQgcMFKMhJh6DPc	Barraging Beatdown	2	1HP023	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Olga Khariton		https://storage.googleapis.com/fabmaster/media/images/1HP023.width-450.png																																								
Wj8rBrchhjPKqQHdBrJMT	mnDGzj8JLF997nnwpFpBH	Barraging Beatdown	3	1HP024	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Olga Khariton		https://storage.googleapis.com/fabmaster/media/images/1HP024.width-450.png																																								
QGrk8bDdmn6FfcDwg9qPF	ckjckdp6twK8nfwqGch7J	Pack Hunt	1	1HP025	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton	Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	https://storage.googleapis.com/fabmaster/media/images/1HP025.width-450.png																																								
gtzF8T9MKhBQbPhR8tHt6	rRHncwrCNq9TmTcndW8bq	Pack Hunt	2	1HP026	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton	Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	https://storage.googleapis.com/fabmaster/media/images/1HP026.width-450.png																																								
grnnGdtNW9CpkcCff6wj7	BntHbFDb7HmGmNq8wmLCq	Pack Hunt	3	1HP027	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton	Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	https://storage.googleapis.com/fabmaster/media/images/1HP027.width-450.png																																								
cJNqTzGbhBFGFLLFnJfkG	FDktk7t9NkNdLDQQhCPBR	Riled Up	1	1HP028	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Sergey Averkin	When word of war reached the Rek'vas Bloodboars, they were struck with fear… fear of missing out!	https://storage.googleapis.com/fabmaster/media/images/1HP028.width-450.png																																								
BHNCLd66RH7FmrtDBJznR	B9HmMb6jB9M8kWFLH86fT	Riled Up	2	1HP029	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Sergey Averkin	When word of war reached the Rek'vas Bloodboars, they were struck with fear… fear of missing out!	https://storage.googleapis.com/fabmaster/media/images/1HP029.width-450.png																																								
dkn8qkDCk7bQWpqwdqTTG	gnjKkBhQtpnDgQ6Q6KD9G	Riled Up	3	1HP030	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Sergey Averkin	When word of war reached the Rek'vas Bloodboars, they were struck with fear… fear of missing out!	https://storage.googleapis.com/fabmaster/media/images/1HP030.width-450.png																																								
nHbPgbtDMDNGh8cqbrKKz	N8DMCFHgLPLrn9wQhhTjC	Savage Swing	1	1HP031	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova	"""I should have listened - no amount of money is worth coming to this wretched place."""	https://storage.googleapis.com/fabmaster/media/images/1HP031.width-450.png																																								
z7WLgmtkPz6JRPcp6QGFG	cKRWnQCGq8f8dGKT7G8pF	Savage Swing	2	1HP032	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova	"""I should have listened - no amount of money is worth coming to this wretched place."""	https://storage.googleapis.com/fabmaster/media/images/1HP032.width-450.png																																								
kmCjdw6mDQMzcGQTwQb8f	7zdfJDbhwjMnMNqkDJ9Qb	Savage Swing	3	1HP033	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova	"""I should have listened - no amount of money is worth coming to this wretched place."""	https://storage.googleapis.com/fabmaster/media/images/1HP033.width-450.png																																								
wrnc6HD7mhKW6mKKTCFRr	WNp6DbGwLqPchCNDmGq66	Smash Instinct	1	1HP034	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton	Following one's instinct may be ill advised.	https://storage.googleapis.com/fabmaster/media/images/1HP034.width-450.png																																								
pRHGpK8kDGRg87zFB6kD8	GH9kGJN7nDbcD9GRbwPNH	Smash Instinct	2	1HP035	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton	Following one's instinct may be ill advised.	https://storage.googleapis.com/fabmaster/media/images/1HP035.width-450.png																																								
GgfkjGmR6wGFNqr9mKfMf	BDBWNGBLdhNLcKLQ6dcdw	Smash Instinct	3	1HP036	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton	Following one's instinct may be ill advised.	https://storage.googleapis.com/fabmaster/media/images/1HP036.width-450.png																																								
NKNTK7pGRzbJQwPnC7zbF	qfFQbdJPqGhjD99dLC6gD	Wrecker Romp	1	1HP037	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Arif Wijaya	The savage rule of the jungle; only the strong survive.	https://storage.googleapis.com/fabmaster/media/images/1HP037.width-450.png																																								
M88pGCQW6MJPz87rzLFp8	HhfPFLHfgBhNMMnMqNRf9	Wrecker Romp	2	1HP038	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Arif Wijaya	The savage rule of the jungle; only the strong survive.	https://storage.googleapis.com/fabmaster/media/images/1HP038.width-450.png																																								
bkJGbDqqWFmrrgQtGhrtp	nPdtpJ7BgkdccWhMGttWr	Wrecker Romp	3	1HP039	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Arif Wijaya	The savage rule of the jungle; only the strong survive.	https://storage.googleapis.com/fabmaster/media/images/1HP039.width-450.png																																								
fjnqHp6LPPhLgPmqNqJft	HFHk96nMLCb7djccbnWpR	Primeval Bellow	1	1HP040	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Raphael Masalimov		https://storage.googleapis.com/fabmaster/media/images/1HP040.width-450.png																																								
PzbR8RrtKphJjP6HH8Bjc	wG8dQmKcfwwGMwdRzjpwn	Primeval Bellow	2	1HP041	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Raphael Masalimov		https://storage.googleapis.com/fabmaster/media/images/1HP041.width-450.png																																								
HNfzKptcNkLKwFtLqw98R	qw9LBP66tDQBHwRcgTTjg	Primeval Bellow	3	1HP042	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Raphael Masalimov		https://storage.googleapis.com/fabmaster/media/images/1HP042.width-450.png																																								
F8RptMQrgfHhrhL6qjjwc	NtLDgPBR7HqDqhDzJMHmk	Bravo, Showstopper		1HP043	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Alexander Mokhov		https://storage.googleapis.com/fabmaster/media/images/1HP043.width-450.png																																								
gcm6R69tGCmbRkWkWPHjM	tzTbzLkLhDzmW9QMJr9KF	Bravo		1HP044	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Adolfo Navarro		https://storage.googleapis.com/fabmaster/media/images/1HP044.width-450.png																																								
fBphrdnCbFMbmqQHfN97g	BFWbnQjgKgRBjw88jK8KH	Anothos		1HP045	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Adolfo Navarro		https://storage.googleapis.com/fabmaster/media/images/1HP045.width-450.png																																								
6tR9jFWBpTjczDjqWrd6q	TGJ8mNQ6DnfnLqzH7WMFg	Sledge of Anvilheim		1HP046	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		bimawithpencil	"""Where Isen's Peak touches the heavens, mighty weapons fit for the Gods are forged."" - Olde tale of Anvilheim"	https://storage.googleapis.com/fabmaster/media/images/1HP046.width-450.png																																								
9TQmL9mtwg6f8qnfCGrmL	TN6DmN7GK9DtMKd9pnmwF	Tectonic Plating		1HP047	rW8hnzQk9DFq89t6Gm9cH	1HP	N	L	S		Alexander Mokhov		https://storage.googleapis.com/fabmaster/media/images/1HP047.width-450.png																																								
p8PgqgqkCKb8tkwqkJdwq	rjhDRz7JGN7kpDdjHQfrg	Helm of Isen's Peak		1HP048	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Ksenia Belova		https://storage.googleapis.com/fabmaster/media/images/1HP048.width-450.png																																								
BwTNGQLrTTk7pwdWd9wnw	DbpdPtLqk9zqfp6bdQTP6	Crater Fist		1HP049	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Shen Fei		https://storage.googleapis.com/fabmaster/media/images/1HP049.width-450.png																																								
rJGzpqw8wN8h6DWdRp7D9	j8jjnw6NmpTpf9cWThfgg	Crippling Crush	1	1HP050	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Wisnu Tan		https://storage.googleapis.com/fabmaster/media/images/1HP050.width-450.png																																								
GkK7c669N7GrLQpDDB8Jj	q7GfHcHBpWqCbtghcpnTj	Mangle	1	1HP051	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Federico Musetti	"""There will be no peace for warmongers like you."" - Jarl Vetreiði"	https://storage.googleapis.com/fabmaster/media/images/1HP051.width-450.png																																								
DcW8DgzbGdcPGFzBWnfrW	WjTbCjjCgPncF9w7WH9Q8	Righteous Cleansing	2	1HP052	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Nathaniel Himawan		https://storage.googleapis.com/fabmaster/media/images/1HP052.width-450.png																																								
TppN7fmbcgrFPTMMCc9Fw	BwgjdFCGncmNwKPkrznN7	Spinal Crush	1	1HP053	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Sergey Gurskiy		https://storage.googleapis.com/fabmaster/media/images/1HP053.width-450.png																																								
96gtJGDCcKgG8KLCKLjhf	hMQTg6qwCLqnHBdGbP6wH	Show Time!	3	1HP054	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Alexander Mokhov		https://storage.googleapis.com/fabmaster/media/images/1HP054.width-450.png																																								
nwTQM9kQtdkPnrQBQkrqr	TtMnqPqJNGgrjmMJ99KWn	Disable	1	1HP055	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nathaniel Himawan		https://storage.googleapis.com/fabmaster/media/images/1HP055.width-450.png																																								
m9MdHKRGRwNk7rMz8zjh8	fgrK7Mbp8qQcbMtQDwk9F	Disable	2	1HP056	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nathaniel Himawan		https://storage.googleapis.com/fabmaster/media/images/1HP056.width-450.png																																								
HjpRBqmrFDKmKwWb6MrLT	7LPnw9zFRhGmKHzCzMpdJ	Disable	3	1HP057	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nathaniel Himawan		https://storage.googleapis.com/fabmaster/media/images/1HP057.width-450.png																																								
cTbtrBwftP6jMP7KdKCcf	QWftpgJpG9fHpC9MdjzKP	Staunch Response	1	1HP058	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nikolai Maslakov	"""Whatever comes, we must not falter."" - Ragnar Frosthelm"	https://storage.googleapis.com/fabmaster/media/images/1HP058.width-450.png																																								
LqzJGCfCNhPcrKcRnfQgh	BmFFCfgQNp9CBNJWDNzj6	Staunch Response	2	1HP059	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nikolai Maslakov	"""Whatever comes, we must not falter."" - Ragnar Frosthelm"	https://storage.googleapis.com/fabmaster/media/images/1HP059.width-450.png																																								
qCHWBFzF9RQmQNHhzwLD8	CJmNCDkwJKGMbhbnjh6Q9	Staunch Response	3	1HP060	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nikolai Maslakov	"""Whatever comes, we must not falter."" - Ragnar Frosthelm"	https://storage.googleapis.com/fabmaster/media/images/1HP060.width-450.png																																								
RWWhRtF99NjCn7kqg7LJz	7CtMDpTTHNC7DrwJHtJ9M	Blessing of Deliverance	1	1HP061	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Asep Ariyanto		https://storage.googleapis.com/fabmaster/media/images/1HP061.width-450.png																																								
hTqJHjcg8c9MhQGBbJtJw	fPm6WdzfPTdDqG7Q6d6Tc	Blessing of Deliverance	2	1HP062	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Asep Ariyanto		https://storage.googleapis.com/fabmaster/media/images/1HP062.width-450.png																																								
qHhntGKkpWzThBdq9DTwp	cTFqbDrnD7GwFrJJrfhdb	Blessing of Deliverance	3	1HP063	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Asep Ariyanto		https://storage.googleapis.com/fabmaster/media/images/1HP063.width-450.png																																								
mcwFRNDMLHQ6LGNMTKBgK	7rNHHrKTMQDhQdp6tgKhD	Towering Titan	1	1HP064	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		bimawithpencil		https://storage.googleapis.com/fabmaster/media/images/1HP064.width-450.png																																								
hBcNBHHKzmmNPp7gbbLTG	6QjFBg8DFzJBbLNmzKjPj	Towering Titan	2	1HP065	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		bimawithpencil		https://storage.googleapis.com/fabmaster/media/images/1HP065.width-450.png																																								
MCTMJknNH7PHJHTcK9Mkt	dDJjK9RbrTTMp7cBkgdqJ	Towering Titan	3	1HP066	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		bimawithpencil		https://storage.googleapis.com/fabmaster/media/images/1HP066.width-450.png																																								
FN9ngRQhfhLGkfJrHwhmr	h7zPMnmnnHgbHRhncLJm8	Cartilage Crush	1	1HP067	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Mike Dalzell		https://storage.googleapis.com/fabmaster/media/images/1HP067.width-450.png																																								
7JKrqqrKDMDCJBffhc6nJ	qRCfPWjnmP9kMwczzqBcC	Cartilage Crush	2	1HP068	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Mike Dalzell		https://storage.googleapis.com/fabmaster/media/images/1HP068.width-450.png																																								
jH6LhqPWLPWKKJgJJqgGq	tcjTRLGRtwRW7Khb6HfKB	Cartilage Crush	3	1HP069	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Mike Dalzell		https://storage.googleapis.com/fabmaster/media/images/1HP069.width-450.png																																								
CNB8PqnPtjPw6nbTdP6BB	fzzJk9PmQWWNpWN9qWHCH	Chokeslam	1	1HP070	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Emilis Emka		https://storage.googleapis.com/fabmaster/media/images/1HP070.width-450.png																																								
fm9pfgQdtBkbWBMkBkmzd	NQtBMGcTc8mwL9Whpm6RQ	Chokeslam	2	1HP071	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Emilis Emka		https://storage.googleapis.com/fabmaster/media/images/1HP071.width-450.png																																								
qCBpNfdhPcJdqPpP7pPRh	hTcPj7fQfqChgCnpMCDPB	Chokeslam	3	1HP072	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Emilis Emka		https://storage.googleapis.com/fabmaster/media/images/1HP072.width-450.png																																								
TQgzDbzBhQLNPz78RfQjr	gNMFmq7hhbDCRHHzhRKRK	Crush Confidence	1	1HP073	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Daniel Jiménez		https://storage.googleapis.com/fabmaster/media/images/1HP073.width-450.png																																								
t7WgDWHTppmnnDg6fTb8k	cdtTLJQBTcPbpc8GWmFKN	Crush Confidence	2	1HP074	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Daniel Jiménez		https://storage.googleapis.com/fabmaster/media/images/1HP074.width-450.png																																								
mwcrH6bHTDhjnFnFMMfDT	Nj6B7WzpjfdJCbjq6Mwrp	Crush Confidence	3	1HP075	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Daniel Jiménez		https://storage.googleapis.com/fabmaster/media/images/1HP075.width-450.png																																								
7khfdPBFCLQCbhMpWDczF	QLGJkQKtpmGkqwpTtHqzG	Debilitate	1	1HP076	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova	…and at that moment, Flannigan knew failure was close at hand.	https://storage.googleapis.com/fabmaster/media/images/1HP076.width-450.png																																								
GGhFKJFKnFtbbGw6Jm88J	pb9kwPfCFccrmCDgGq7bJ	Debilitate	2	1HP077	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova	…and at that moment, Flannigan knew failure was close at hand.	https://storage.googleapis.com/fabmaster/media/images/1HP077.width-450.png																																								
ccJdgTPHCWWTDLw6kFRLR	z6t6dcr7F7fWjwKwtqdRd	Debilitate	3	1HP078	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova	…and at that moment, Flannigan knew failure was close at hand.	https://storage.googleapis.com/fabmaster/media/images/1HP078.width-450.png																																								
pbzhgqrNBwHRDb8Hz8RKk	jd9pfjNMhtjPhWPKqdnpg	Emerging Dominance	1	1HP079	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		bimawithpencil		https://storage.googleapis.com/fabmaster/media/images/1HP079.width-450.png																																								
LjmhThn67FRcpmjBG7H7N	dBh9zHWmcNHhCHBJjcNWQ	Emerging Dominance	2	1HP080	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		bimawithpencil		https://storage.googleapis.com/fabmaster/media/images/1HP080.width-450.png																																								
Kk8PmtdpD7j8phn7Gzzt7	RdftGrd8H6WJCkTPtNtGD	Emerging Dominance	3	1HP081	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		bimawithpencil		https://storage.googleapis.com/fabmaster/media/images/1HP081.width-450.png																																								
N9TTL8cgN87NmG8Qdq6QK	9TtNBLtzhLBjgHtLcc999	Stonewall Confidence	1	1HP082	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Alexander Mokhov		https://storage.googleapis.com/fabmaster/media/images/1HP082.width-450.png																																								
dNNFMgnHCtBB8wCFM9Fdt	wdggBC9qf7LKDWHTg7qFB	Stonewall Confidence	2	1HP083	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Alexander Mokhov		https://storage.googleapis.com/fabmaster/media/images/1HP083.width-450.png																																								
FLRrPKBgtPnkHP77JRdG6	W7rtcPqhKrfQd6fFGbGFR	Stonewall Confidence	3	1HP084	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Alexander Mokhov		https://storage.googleapis.com/fabmaster/media/images/1HP084.width-450.png																																								
kdGrJqwCFjjMC799dbh6t	Rf8CHpzmhJNppCtDDKWDm	Seismic Surge		1HP085	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Anastasiya Grintsova		https://storage.googleapis.com/fabmaster/media/images/1HP085.width-450.png																																								
KnLwpchpCMnjJ67WFfPWM	nM8BHGHd9qLGTPgwtWzkJ	Katsu, the Wanderer		1HP086	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Adolfo Navarro		https://storage.googleapis.com/fabmaster/media/images/1HP086.width-450.png																																								
NCzRnTMmj79WpdCjbhpQD	QnGJNBGBFw98q9n9NCdRW	Katsu		1HP087	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Adolfo Navarro		https://storage.googleapis.com/fabmaster/media/images/1HP087.width-450.png																																								
mWFRtRK7PjhGLdCPWczRz	HT8r8mg8rHmbWJthCFHfH	Benji, the Piercing Wind		1HP088	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Sam Yang		https://storage.googleapis.com/fabmaster/media/images/1HP088.width-450.png																																								
Dwkz8dPrnLtqzFdPNbhfT	GCRQMpBtqBHWrk68GqnGP	Ira, Crimson Haze		1HP089	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Le Vuong		https://storage.googleapis.com/fabmaster/media/images/1HP089.width-450.png																																								
7jbbTbjkLRckWCfW7zBt9	FfRMHD8fbLP7FjLJdmbtM	Edge of Autumn		1HP090	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Fajareka Setiawan		https://storage.googleapis.com/fabmaster/media/images/1HP090.width-450.png																																								
kQMPQqdf6mJrbBctnFTHD	gTNzqJLcQhkLkhBwKrpBQ	Harmonized Kodachi		1HP091	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Leo Avero		https://storage.googleapis.com/fabmaster/media/images/1HP091.width-450.png																																								
QGnTb6LBb8Q8b7WzmHQhG	gTNzqJLcQhkLkhBwKrpBQ	Harmonized Kodachi		1HP092	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Leo Avero		https://storage.googleapis.com/fabmaster/media/images/1HP092.width-450.png																																								
qfcFtbjMqtKTzdDk6zct6	DC8RfMDzMnthBkWJgmWpQ	Zephyr Needle		1HP093	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Cristián Huerta		https://storage.googleapis.com/fabmaster/media/images/1HP093.width-450.png																																								
HjFHQMn9NWHFMPjLDbNTm	DC8RfMDzMnthBkWJgmWpQ	Zephyr Needle		1HP094	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Cristián Huerta		https://storage.googleapis.com/fabmaster/media/images/1HP094.width-450.png																																								
JtQtmQ8PCMhJknqG6HpQq	GrB8WmQjkqnGJhDBwKQtn	Mask of Momentum		1HP095	rW8hnzQk9DFq89t6Gm9cH	1HP	N	L	S		Kate Fox		https://storage.googleapis.com/fabmaster/media/images/1HP095.width-450.png																																								
jjMCNT8c9BDcgtTKBJTBg	6dMC789mNcrmnMPWGMdhb	Breaking Scales		1HP096	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Wírawan Pranoto		https://storage.googleapis.com/fabmaster/media/images/1HP096.width-450.png																																								
RtTLhcrJjTNnLDbRbGqcF	LQFQqtHDnRNhPQ6GP8z9j	Breeze Rider Boots		1HP097	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Leony Tobing		https://storage.googleapis.com/fabmaster/media/images/1HP097.width-450.png																																								
