Unique ID	Name	Description
rwhcqgpkPpTtFrNM6n7Pw	Fusion	**Fusion** is a keyword that **fuses** one or more elements with an elemental card to give an additional effect.
mmf6BdTtrbCGrhdhg8K9g	Go again	**Go again** allows multiple actions to be played in a turn, when usually playing an action would use up your action point, and therefore end your turn. A card with **go again** gives the controller of that card or activated ability 1 action point when it resolves.
hbjfTFTQmCR9FjzP7DWGK	Heave X	At the beginning of your end phase, if this is in your hand and you have an empty arsenal zone, you may pay X and put this face up into your arsenal. If you do, create X Seismic Surge tokens.
NdTgddPBhJLhG7HRjqPG6	Intimidate	A Brute mechanic that showcases how frightening a brute is to its enemies. **Intimidate** removes a random card from a heroes hand making it more difficult to defend.
TrD8trBHtDqmdKtd9jMWr	Legendary	You may only have 1 copy of this card in your deck.
h8pdGJQwFdJWbtJCHrmPP	Material	An Illusionist mechanic that applies effects if it is under another permanent.
KjHmzrtCdmW698JjW8J6j	Negate	**Negating** a card on a layer of the chain will prevent the card from resolving.
bfRPRwTzzCPNRmNbfhdq7	Opt X	**Opt** is a keyword that allows you to look at the top X cards and put any number of them on the top and/or bottom of your deck in any order.
pWczCNRqmhC9Cp9wNPCK9	Overpower	The defending hero can't defend this with more than one action card.
GQfWb9GwKkw9RNrK6L6B9	Phantasm	**Phantasm** is a keyword that exists on Illusionist attacks. Illusionist attacks with **phantasm** are powerful but fragile. When an attack with **phantasm** is defended by a 6{p}+ non-Illusionist attack action card, the attack is destroyed and the combat chain closes.
FqH7Rt8PDdWccP9RGMFbL	Piercing X	If this is defended by an equipment, it has +X{p}.
BrB9ww8W6WgHnWGFzFzqd	Quell X	If your hero would be dealt damage, you may pay X{r} to prevent X of that damage. If you do, destroy this at the beginning of the end phase.
CMkCBFwkdRTkckLfBwhjL	Reload	**Reload** is a Ranger mechanic that allows you to put a card from your hand face down into your arsenal when the card resolves.
BN9pfqWtQjNgCHFrgmNHJ	Reprise	"A Warrior mechanic that showcases the prowess a warrior has when they are engaged in close combat. **Reprise** effects ""turn on"" if the defending hero has defended with a card from their hand."
FL9rFc6hKw7WbRnCBqBzR	Rupture	A Draconic mechanic that applies certain effects if the card is played at chain link 4 or higher.
cjn8CBRWPmdG8fwJNTBJt	Specialization	You may only have this card in your deck if your hero is the specified hero.
fDbLqGWBhWhTmJhGmdKQc	Spectra	**Spectra** is a keyword that exists on Illusionist Aura cards. When a player is deciding who to target for an attack they may elect to target an Aura with the keyword **spectra**. When an Aura with **spectra** is attacked, destroy it and close the combat chain. The attack will not resolve and the combat chain closes.
f8Tw8JfDjQhjrtkLLcBKt	Spellvoid X	**Spellvoid** is a keyword primarily on equipment or items. **Spellvoid** is a one time use effect that prevents arcane damage.
CKRGw9dCnNdKpNTdTBqgz	Surge	**Surge** is an effect that applies if a card deals more arcane damage than it's printed amount.
RnrzPrG6KfnCPhDCF8bpB	Temper	**Temper** is a keyword that exists on equipment. Usually high in defense, **Temper** equipment presents a choice when it is down to 1{d}, of whether to defend with it one last time and see it destroyed, or save it to use for its ability.
hGzPP7bNMQJWNJ8QzQhDQ	Transform	An Illusionist mechanic that puts specified objects under another card or creates a token and puts specified objects under it.
hDqkbTcqj9Fmr7m8TKKCz	Unfreeze	Removes **Freeze** from an object.
hWpPNJ8jcqTHpgnQcPNkm	Ward X	If your hero would be dealt damage, prevent X of that damage and destroy this.
